# Australian locality gazetteer — suburb/locality<TAB>LGA<TAB>state<TAB>lat<TAB>lng
# Source: GeoNames (geonames.org, CC-BY 4.0) — AU.txt feature class P joined with admin2Codes.txt
# LGA state disambiguators like "Central Coast (NSW)" are stripped (state is its own column).
# State from admin1 code: 01=ACT 02=NSW 03=NT 04=QLD 05=SA 06=TAS 07=VIC 08=WA.
# Refresh: download https://download.geonames.org/export/dump/AU.zip and admin2Codes.txt, re-run the awk join (see Docs).
# Generated: 2026-07-07
Allynbrook	Dungog	NSW	-32.3614	151.5364
Alma	Central Goldfields	VIC	-37.03333	143.68333
Alma	Wakefield	SA	-34.26685	138.63043
Alma Creek	Banana	QLD	-23.91667	150.28333
Alma Park	Richmond Valley	NSW	-28.79925	153.05103
Almaden	Mareeba	QLD	-17.33941	144.67762
Almavale	Byron	NSW	-28.67077	153.54454
Almodale	Tenterfield	NSW	-28.46986	152.4905
Almonds	Moira	VIC	-36.2	145.96667
Almonds	Moira	VIC	-36.23984	146.04572
Almoola	Whitsunday	QLD	-20.48998	147.85394
Almurta	Bass Coast	VIC	-38.45	145.56667
Almurta East	Bass Coast	VIC	-38.46667	145.58333
Alonnah	Kingborough	TAS	-43.31584	147.24315
Aloomba	Cairns	QLD	-17.10989	145.83339
Alpha	Barcaldine	QLD	-23.64915	146.63985
Alphington	Yarra	VIC	-37.78333	145.03333
Alpine	Wingecarribee	NSW	-34.4093	150.5296
Alpurrurulam	Barkly	NT	-20.98552	137.84914
Alray	Longreach	QLD	-23.43336	143.51003
Alsace	Central Highlands	QLD	-23.28061	149.35241
Alston	Hilltops	NSW	-33.98333	148.98333
Alstonvale	Ballina	NSW	-28.80817	153.44652
Alstonville	Ballina	NSW	-28.84186	153.44022
Alton	Balonne	QLD	-27.98333	149.31667
Alton Downs	Rockhampton	QLD	-23.3	150.35
Altona	Barossa	SA	-34.59619	138.91403
Altona	Hobsons Bay	VIC	-37.86964	144.83036
Altona Meadows	Hobsons Bay	VIC	-37.88413	144.78367
Altona North	Hobsons Bay	VIC	-37.83487	144.84735
Alumy Creek	Clarence Valley	NSW	-29.6485	152.9512
Alva	Burdekin	QLD	-19.45	147.48333
Alvie	Colac Otway	VIC	-38.23333	143.5
Alyangula		NT	-13.85413	136.42129
Amah	Central Highlands	QLD	-23.24508	148.06825
Amamoor	Gympie	QLD	-26.34915	152.67928
Amamoor Creek	Gympie	QLD	-26.38164	152.50504
Amargo	Clarence Valley	NSW	-28.99245	152.55156
Amarina	Richmond Valley	NSW	-28.98341	152.97983
Amaroe	Scenic Rim	QLD	-28.18736	152.71836
Amaroo		ACT	-35.16959	149.12802
Amaroo	Cabonne	NSW	-33.15949	148.92743
Amaroo	Isaac	QLD	-22.10449	147.30589
Amaroo	Richmond Valley	NSW	-28.78751	152.94359
Amata	Anangu Pitjantjatjara Yankunytjatjara	SA	-26.1581	131.14832
Ambania	Greater Geraldton	WA	-28.69646	115.10158
Ambarvale	Campbelltown	NSW	-34.08942	150.79656
Ambergate	Busselton	WA	-33.70592	115.33018
Ambergate Reserve	Busselton	WA	-33.70827	115.31006
Amberley	Ipswich	QLD	-27.63333	152.7
Ambleside	Devonport	TAS	-41.20316	146.37225
Amboola	Maranoa	QLD	-26.49579	147.70723
Ambrose	Gladstone	QLD	-23.8	150.93333
Amby	Maranoa	QLD	-26.55	148.18333
Amelup	Gnowangerup	WA	-34.22	118.221
American River	Kangaroo Island	SA	-35.77253	137.77834
Ameroo	Richmond Valley	NSW	-29.04962	153.08121
Amery	Dowerin	WA	-31.15086	117.08945
Amherst	Central Goldfields	VIC	-37.15	143.66667
Amhurst		QLD	-21.06667	149.23333
Amiens	Southern Downs	QLD	-28.58803	151.80737
Amity Point	Redland	QLD	-27.39821	153.43798
Amoonguna	MacDonnell	NT	-23.76359	133.92961
Amor	Baw Baw	VIC	-37.94113	146.39814
Amos Quarries	Gladstone	QLD	-23.75	150.83333
Amosfield	Tenterfield	NSW	-28.66197	152.07123
Amphion	Murray	WA	-32.76667	116.2
Amphitheatre	Pyrenees	VIC	-37.16667	143.41667
Ampilatwatja	Barkly	NT	-21.65702	135.22591
Amyton	Mount Remarkable	SA	-32.6	138.33333
Anaba	King Island	TAS	-39.90414	143.96405
Anabranch South	Wentworth	NSW	-33.75007	141.72741
Anakie	Central Highlands	QLD	-23.55	147.75
Anakie	Greater Geelong	VIC	-37.91667	144.25
Anambah	Maitland	NSW	-32.67175	151.49511
Anburia	MacDonnell	NT	-23.33968	133.17143
Ancona	Mansfield	VIC	-36.98333	145.81667
Andamooka		SA	-30.44808	137.16564
Andarangki	Roper Gulf	NT	-13.60691	135.76701
Andergrove	Mackay	QLD	-21.08333	149.18333
Anderleigh	Gympie	QLD	-25.99049	152.68277
Anderson	Bass Coast	VIC	-38.5232	145.44838
Andersons Point	Clarence Valley	NSW	-29.53346	153.05455
Ando	Snowy Monaro	NSW	-36.71667	149.25
Andoom	Cook	QLD	-12.5358	141.83621
Andover	Southern Midlands	TAS	-42.33333	147.45
Andrews	Northern Areas	SA	-33.63958	138.60982
Andrews Farm	Playford	SA	-34.67632	138.66197
Andromache	Whitsunday	QLD	-20.56074	148.48404
Anduramba	Toowoomba	QLD	-27.15	152.1
Angas Plains	Alexandrina	SA	-35.35	139
Angas Valley	Mid Murray	SA	-34.76667	139.3
Angaston	Barossa	SA	-34.50129	139.04625
Angellala	Murweh	QLD	-26.41451	146.88949
Angip	Yarriambiack	VIC	-36.1	142.23333
Angle Park	Port Adelaide Enfield	SA	-34.85989	138.55798
Angle Vale	Playford	SA	-34.64098	138.6461
Angledale	Bega Valley	NSW	-36.6318	149.8846
Angledale	Byron	NSW	-28.71279	153.58942
Angledool	Longreach	QLD	-23.48171	143.58211
Anglers Reach	Snowy Monaro	NSW	-36.0123	148.69612
Anglers Rest	East Gippsland	VIC	-36.99314	147.48835
Anglesea	Surf Coast	VIC	-38.4073	144.18587
Angleside	Livingstone	QLD	-22.74981	149.54996
Angourie	Clarence Valley	NSW	-29.4763	153.35879
Angula	Central Desert	NT	-22.55895	134.21402
Angurugu Community, Anindilyakwa	Groote Archipelago	NT	-13.9803	136.4614
Angus Downs	McKinlay	QLD	-21.44463	141.82602
Angustown	Strathbogie	VIC	-36.7	145.1
Anindilyakwa	Groote Archipelago	NT	-13.91695	136.59091
